"especie","registros"
"Dypsis lutescens","25355"
"Cenostigma pluviosum","24632"
"Geoffroea spinosa","21990"
"Mangifera indica","16054"
"Adonidia merrillii","15644"
"Swinglea glutinosa","14877"
"Tabebuia rosea","13841"
"Terminalia catappa","11767"
"Roystonea regia","10614"
"Pithecellobium dulce","9909"
"Ficus benjamina","9640"
"Samanea saman","8538"
"Annona muricata","8123"
"Sin Identificar","7407"
"Guazuma ulmifolia","6957"
"Platycladus orientalis","6384"
"Persea americana","5807"
"Melicoccus bijugatus","4904"
"Cascabela thevetia","4698"
"Spathodea campanulata","4532"
"Jacaranda caucana","4490"
"Senna spectabilis","3356"
"Clitoria fairchildiana","3075"
"Citrus limon","3056"
"Araucaria columnaris","2914"
"Morinda citrifolia","2784"
"Elaeis guineensis","2658"
"Cupania glabra","2633"
"Psidium guajava","2626"
"Guarea guidonia","2487"
"Senna siamea","2463"
"Handroanthus chrysanthus","2422"
"Crescentia cujete","2199"
"Ocotea aurantiodora","2090"
"Cocos nucifera","2038"
"Leucaena leucocephala","2025"
"Calliandra pittieri","1969"
"Citrus ×aurantium","1937"
"Lacistema aggregatum","1878"
"Miconia minutiflora","1835"
"Heptapleurum actinophyllum","1814"
"Roystonea oleracea","1737"
"Murraya paniculata","1728"
"Syagrus sancona","1627"
"Plumeria rubra","1613"
"Gliricidia sepium","1606"
"Malpighia glabra","1603"
"Washingtonia filifera","1579"
"Ceiba pentandra","1573"
"Sapindus saponaria","1507"
"Moringa oleifera","1465"
"Cananga odorata","1465"
"Trichanthera gigantea","1447"
"Citrus reticulata","1429"
"Delonix regia","1406"
"Phoenix roebelenii","1328"
"Aiouea montana","1309"
"Zanthoxylum rhoifolium","1275"
"Dypsis madagascariensis","1255"
"Cupressus sempervirens","1247"
"Cassia fistula","1218"
"Erythroxylum citrifolium","1214"
"Syzygium malaccense","1208"
"Inga edulis","1192"
"Catalpa longissima","1188"
"Caesalpinia pulcherrima","1184"
"Bauhinia purpurea","1179"
"Moquilea tomentosa","1099"
"Cedrela odorata","1087"
"Cordia alliodora","1086"
"Cecropia peltata","1086"
"Croton gossypiifolius","1017"
"Ficus obtusifolia","1015"
"Megaskepasma erythrochlamys","998"
"Myrcia selloi","967"
"Toxicodendron striatum","895"
"Pimenta racemosa","863"
"Pachira aquatica","837"
"Trichilia pallida","832"
"Guaiacum officinale","826"
"Couroupita guianensis","825"
"Simarouba amara","802"
"Plectrocarpa carrapo","784"
"Lagerstroemia speciosa","749"
"Bunchosia armeniaca","749"
"Myrcia popayanensis","720"
"Ficus elastica","718"
"Plumeria alba","700"
"Tabebuia heterophylla","679"
"Solanum umbellatum","677"
"Jacaranda hesperia","657"
"Bauhinia variegata","651"
"Hymenaea courbaril","644"
"Genipa americana","642"
"Pseudosamanea guachapele","640"
"Blighia sapida","636"
"Tecoma stans","633"
"Swietenia macrophylla","630"
"Azadirachta indica","629"
"Melaleuca citrina","628"
"Enterolobium cyclocarpum","605"
"Anacardium excelsum","603"
"Didymopanax morototoni","593"
"Brownea grandiceps","591"
"Cnidoscolus aconitifolius","588"
"Wodyetia bifurcata","575"
"Bixa orellana","571"
"Brunfelsia uniflora","562"
"Artocarpus altilis","553"
"Annona squamosa","536"
"Albizia carbonaria","507"
"Averrhoa carambola","506"
"Erythroxylum coca","492"
"Terminalia buceras","485"
"Syagrus romanzoffiana","484"
"Cassia grandis","479"
"Syzygium cumini","472"
"Handroanthus ochraceus","460"
"Myrcia splendens","460"
"Clusia multiflora","456"
"Cupressus lusitanica","450"
"Syzygium jambos","442"
"Bauhinia picta","425"
"Cyrtostachys renda","412"
"Erythrina poeppigiana","404"
"Caryota mitis","398"
"Peltophorum pterocarpum","394"
"Phyllanthus acidus","391"
"Thespesia populnea","390"
"Ficus variegata","380"
"Pritchardia pacifica","373"
"Pachira speciosa","371"
"Livistona chinensis","370"
"Lafoensia punicifolia","363"
"Ficus insipida","349"
"Matisia cordata","340"
"Cycas revoluta","335"
"Coccoloba uvifera","329"
"Ravenala madagascariensis","319"
"Caryota urens","314"
"Achatocarpus nigricans","306"
"Ficus lyrata","297"
"Guadua angustifolia","293"
"Muntingia calabura","285"
"Spondias dulcis","282"
"Adenanthera pavonina","278"
"Bismarckia nobilis","277"
"Senna reticulata","267"
"Eucalyptus grandis","259"
"Bambusa vulgaris","253"
"Archontophoenix alexandrae","246"
"Sterculia apetala","246"
"Persea caerulea","238"
"Fraxinus chinensis","238"
"Ochroma pyramidale","238"
"Cestrum nocturnum","233"
"Eugenia uniflora","232"
