"nombre_cientifico","nombre_comun","familia","registros","gbif"
"Dypsis lutescens","Palma areca","PALMAE","25355","https://www.gbif.org/es/species/2735935"
"Cenostigma pluviosum","Acacia robinia","FABACEAE","24632","https://www.gbif.org/es/species/9416767"
"Geoffroea spinosa","Ébano","FABACEAE","21990","https://www.gbif.org/es/species/2966693"
"Mangifera indica","Mango","ANACARDIACEAE","16054","https://www.gbif.org/es/species/3190638"
"Adonidia merrillii","Palma manila","PALMAE","15644","https://www.gbif.org/es/species/2738434"
"Swinglea glutinosa","Limón suingle","RUTACEAE","14877","https://www.gbif.org/es/species/3837155"
"Tabebuia rosea","Guayacán rosado","BIGNONIACEAE","13841","https://www.gbif.org/es/species/3172537"
"Terminalia catappa","Almendro","COMBRETACEAE","11767","https://www.gbif.org/es/species/3189394"
"Roystonea regia","Palma real de Cuba","PALMAE","10614","https://www.gbif.org/es/species/2733755"
"Pithecellobium dulce","Chiminango","MIMOSACEAE","9909","https://www.gbif.org/es/species/2962831"
"Ficus benjamina","Ficus benjamina","MORACEAE","9640","https://www.gbif.org/es/species/5361932"
"Samanea saman","Samán","FABACEAE","8538","https://www.gbif.org/es/species/2972960"
"Annona muricata","Guanábano","ANNONACEAE","8123","https://www.gbif.org/es/species/5407273"
"Sin Identificar","Sin Identificar","DESCONOCIDA","7407",NULL
"Guazuma ulmifolia","Guásimo","STERCULIACEAE","6957","https://www.gbif.org/es/species/3152195"
"Platycladus orientalis","Pino libro","DESCONOCIDA","6374","https://www.gbif.org/es/species/2684855"
"Persea americana","Aguacate","LAURACEAE","5807","https://www.gbif.org/es/species/3034046"
"Melicoccus bijugatus","Mamoncillo","SAPINDACEAE","4904","https://www.gbif.org/es/species/3189990"
"Cascabela thevetia","Cojón de cabrito","DESCONOCIDA","4694","https://www.gbif.org/es/species/3169652"
"Spathodea campanulata","Tulipán africano","BIGNONIACEAE","4532","https://www.gbif.org/es/species/3172574"
"Jacaranda caucana","Gualanday","BIGNONIACEAE","4490","https://www.gbif.org/es/species/7298785"
"Senna spectabilis","Vainillo","CAESALPINIACEAE","3356","https://www.gbif.org/es/species/2957438"
"Citrus limon","Limón","RUTACEAE","3056","https://www.gbif.org/es/species/7647136"
"Clitoria fairchildiana","Bohío","DESCONOCIDA","3043","https://www.gbif.org/es/species/2946600"
"Araucaria columnaris","Araucaria","ARAUCARIACEAE","2914","https://www.gbif.org/es/species/2684921"
"Morinda citrifolia","Noni","RUBIACEAE","2784","https://www.gbif.org/es/species/5339879"
"Elaeis guineensis","Palma africana","PALMAE","2658","https://www.gbif.org/es/species/2731882"
"Cupania glabra","Mestizo","SAPINDACEAE","2633","https://www.gbif.org/es/species/3189962"
"Psidium guajava","Guayaba","MYRTACEAE","2626","https://www.gbif.org/es/species/5420380"
"Guarea guidonia","Trompillo","MELIACEAE","2487","https://www.gbif.org/es/species/3190500"
"Senna siamea","Acacia amarilla","CAESALPINIACEAE","2463","https://www.gbif.org/es/species/2956905"
"Handroanthus chrysanthus","Guayacán amarillo","BIGNONIACEAE","2422","https://www.gbif.org/es/species/6401337"
"Crescentia cujete","Totumo","BIGNONIACEAE","2199","https://www.gbif.org/es/species/5415081"
"Ocotea aurantiodora","Orejaemula","LAURACEAE","2090","https://www.gbif.org/es/species/4177404"
"Cocos nucifera","Palma de coco","PALMAE","2038","https://www.gbif.org/es/species/2735117"
"Leucaena leucocephala","Leucaena","MIMOSACEAE","2025","https://www.gbif.org/es/species/2970418"
"Calliandra pittieri","Carbonero","MIMOSACEAE","1969","https://www.gbif.org/es/species/2981948"
"Citrus ×aurantium","Naranja","RUTACEAE","1937",NULL
"Lacistema aggregatum","Cafecillo","LACISTEMATACEAE","1878","https://www.gbif.org/es/species/3075397"
"Miconia minutiflora","Nigüito","MELASTOMATACEAE","1835","https://www.gbif.org/es/species/10932080"
"Heptapleurum actinophyllum","Cheflera","ARALIACEAE","1814","https://www.gbif.org/es/species/11008739"
"Roystonea oleracea","Palma botella","PALMAE","1737","https://www.gbif.org/es/species/2733738"
"Murraya paniculata","Mirto","RUTACEAE","1728","https://www.gbif.org/es/species/8190743"
"Syagrus sancona","Palma zancona","PALMAE","1627","https://www.gbif.org/es/species/5293840"
"Plumeria rubra","Azuceno rojo","APOCYNACEAE","1613","https://www.gbif.org/es/species/3169674"
"Gliricidia sepium","Matarratón","FABACEAE","1606","https://www.gbif.org/es/species/8082978"
"Malpighia glabra","Huesito","MALPIGHIACEAE","1603","https://www.gbif.org/es/species/5421429"
"Washingtonia filifera","Palma abanico de California","PALMAE","1579","https://www.gbif.org/es/species/5294589"
"Ceiba pentandra","Ceiba","BOMBACACEAE","1573","https://www.gbif.org/es/species/5406697"
"Sapindus saponaria","Chambimbe","SAPINDACEAE","1507","https://www.gbif.org/es/species/8017915"
"Cananga odorata","Cadmia","ANNONACEAE","1465","https://www.gbif.org/es/species/5407583"
"Moringa oleifera","Moringa","MORINGACEAE","1465","https://www.gbif.org/es/species/3054181"
"Trichanthera gigantea","Nacedero","ACANTHACEAE","1447","https://www.gbif.org/es/species/8138695"
"Citrus reticulata","Mandarina","RUTACEAE","1429","https://www.gbif.org/es/species/3190172"
"Delonix regia","Flamboyán","CAESALPINIACEAE","1406","https://www.gbif.org/es/species/2956176"
"Phoenix roebelenii","Palma robellini","PALMAE","1328","https://www.gbif.org/es/species/5293153"
"Aiouea montana","Jigua","LAURACEAE","1309","https://www.gbif.org/es/species/9671278"
"Zanthoxylum rhoifolium","Tachuelo","RUTACEAE","1275","https://www.gbif.org/es/species/7269222"
"Dypsis madagascariensis","Palma de Madagascar","PALMAE","1255","https://www.gbif.org/es/species/12236061"
"Cupressus sempervirens","Pino vela","CUPRESSACEAE","1247","https://www.gbif.org/es/species/2684030"
"Cassia fistula","Lluvia de oro","CAESALPINIACEAE","1218","https://www.gbif.org/es/species/5357108"
"Erythroxylum citrifolium","Coca de monte","ERYTHROXYLACEAE","1214","https://www.gbif.org/es/species/7284809"
"Syzygium malaccense","Pera de malaca","MYRTACEAE","1208","https://www.gbif.org/es/species/3184509"
"Inga edulis","Guamo","MIMOSACEAE","1192","https://www.gbif.org/es/species/5357677"
"Caesalpinia pulcherrima","Clavellino","CAESALPINIACEAE","1184","https://www.gbif.org/es/species/2958715"
"Bauhinia purpurea","Casco de vaca","CAESALPINIACEAE","1179","https://www.gbif.org/es/species/2953871"
"Catalpa longissima","Crispeto","DESCONOCIDA","1174","https://www.gbif.org/es/species/3172614"
"Moquilea tomentosa","Oití","CHRYSOBALANACEAE","1099","https://www.gbif.org/es/species/2985500"
"Cedrela odorata","Cedro rosado","MELIACEAE","1087","https://www.gbif.org/es/species/3190511"
"Cordia alliodora","Nogal cafetero","BORAGINACEAE","1086","https://www.gbif.org/es/species/7649215"
"Cecropia peltata","Yarumo","CECROPIACEAE","1086","https://www.gbif.org/es/species/2984476"
"Croton gossypiifolius","Sangregao","EUPHORBIACEAE","1017","https://www.gbif.org/es/species/3059672"
"Ficus obtusifolia","Amate","MORACEAE","1015","https://www.gbif.org/es/species/5361910"
"Megaskepasma erythrochlamys","Pavoncillo rojo","ACANTHACEAE","998","https://www.gbif.org/es/species/3773061"
"Myrcia selloi","Arrayán cerezo","MYRTACEAE","967","https://www.gbif.org/es/species/3173954"
"Toxicodendron striatum","Caspi","ANACARDIACEAE","895","https://www.gbif.org/es/species/4928885"
"Pimenta racemosa","Guayabita","MYRTACEAE","863","https://www.gbif.org/es/species/3186096"
"Pachira aquatica","Cacao de monte","MALVACEAE","837","https://www.gbif.org/es/species/3152235"
"Trichilia pallida","Cedrillo","MELIACEAE","832","https://www.gbif.org/es/species/3190491"
"Guaiacum officinale","Guayaco","ZYGOPHYLLACEAE","826","https://www.gbif.org/es/species/3986813"
"Couroupita guianensis","Bala de cañón","DESCONOCIDA","820","https://www.gbif.org/es/species/3082562"
"Simarouba amara","Amargo","SIMAROUBACEAE","802","https://www.gbif.org/es/species/7720664"
"Plectrocarpa carrapo","Guayacán carrapo","ZYGOPHYLLACEAE","784","https://www.gbif.org/es/species/9749743"
"Bunchosia armeniaca","Ciruelo de monte","MALPIGHIACEAE","749","https://www.gbif.org/es/species/8398507"
"Lagerstroemia speciosa","Flor de reina","LYTHRACEAE","749","https://www.gbif.org/es/species/3188724"
"Myrcia popayanensis","Arrayancito","MYRTACEAE","720","https://www.gbif.org/es/species/3173930"
"Ficus elastica","Caucho","MORACEAE","718","https://www.gbif.org/es/species/7835333"
"Plumeria alba","Amancayo blanco","APOCYNACEAE","700","https://www.gbif.org/es/species/3169673"
"Tabebuia heterophylla","Guayacán enano","BIGNONIACEAE","679","https://www.gbif.org/es/species/3172526"
"Solanum umbellatum","Barba de chivo","SOLANACEAE","677","https://www.gbif.org/es/species/2929008"
