"caespecie","reg"
"Dypsis lutescens","1028"
"Swinglea glutinosa","883"
"Cenostigma pluviosum","828"
"Geoffroea spinosa","806"
"Ficus benjamina","613"
"Terminalia catappa","599"
"Platycladus orientalis","541"
"Mangifera indica","519"
"Cascabela thevetia","478"
"Adonidia merrillii","411"
"Tabebuia rosea","379"
"Annona muricata","360"
"Pithecellobium dulce","282"
"Melicoccus bijugatus","212"
"Araucaria columnaris","202"
"Persea americana","198"
"Spathodea campanulata","177"
"Morinda citrifolia","172"
"Sin Identificar","163"
"Catalpa longissima","158"
"Samanea saman","138"
"Citrus limon","131"
"Citrus ×aurantium","110"
"Roystonea oleracea","107"
"Handroanthus chrysanthus","100"
"Cocos nucifera","97"
"Roystonea regia","96"
"Plumeria rubra","94"
"Psidium guajava","92"
"Erythroxylum coca","90"
"Malpighia glabra","88"
"Heptapleurum actinophyllum","83"
"Murraya paniculata","81"
"Senna siamea","77"
"Cassia fistula","74"
"Jacaranda caucana","71"
"Moringa oleifera","68"
"Ficus elastica","64"
"Myrcia selloi","60"
"Blighia sapida","55"
"Cananga odorata","54"
"Ceiba pentandra","53"
"Delonix regia","52"
"Washingtonia filifera","50"
"Cedrela odorata","49"
"Guaiacum officinale","49"
"Ficus obtusifolia","46"
"Sapindus saponaria","45"
"Phoenix roebelenii","44"
"Guazuma ulmifolia","43"
"Caesalpinia pulcherrima","43"
"Tabebuia heterophylla","41"
"Plectrocarpa carrapo","40"
"Elaeis guineensis","38"
"Citrus reticulata","38"
"Crescentia cujete","37"
"Cupressus lusitanica","33"
"Moquilea tomentosa","33"
"Bauhinia purpurea","33"
"Annona squamosa","32"
"Tecoma stans","32"
"Gliricidia sepium","30"
"Megaskepasma erythrochlamys","30"
"Couroupita guianensis","29"
"Pachira aquatica","29"
"Trichanthera gigantea","27"
"Senna spectabilis","27"
"Azadirachta indica","26"
"Plumeria alba","25"
"Lafoensia punicifolia","25"
"Brownea grandiceps","24"
"Pimenta racemosa","24"
"Inga edulis","23"
"Cupressus sempervirens","23"
"Averrhoa carambola","22"
"Leucaena leucocephala","21"
"Solanum umbellatum","20"
"Dypsis madagascariensis","20"
"Ficus variegata","19"
"Syzygium malaccense","19"
"Cordia alliodora","18"
"Caryota mitis","18"
"Calliandra pittieri","18"
"Hura crepitans","17"
"Acacia mangium","16"
"Syzygium cumini","16"
"Albizia carbonaria","15"
"Brunfelsia uniflora","15"
"Swietenia macrophylla","15"
"Clitoria fairchildiana","15"
"Lagerstroemia speciosa","14"
"Genipa americana","14"
"Ochroma pyramidale","14"
"Cycas revoluta","13"
"Bixa orellana","13"
"Eugenia uniflora","13"
"Bismarckia nobilis","12"
"Thespesia populnea","12"
"Melaleuca citrina","12"
"Flacourtia indica","12"
"Fraxinus chinensis","12"
"Pseudosamanea guachapele","12"
"Platymiscium pinnatum","12"
"Coccoloba acuminata","11"
"Pritchardia pacifica","11"
"Bauhinia variegata","11"
"Coccoloba uvifera","11"
"Syzygium jambos","11"
"Euphorbia aphylla","11"
