"nombre_cientifico","reg"
"Caesalpinia peltophoroides","24459"
"Dypsis lutescens","18502"
"Swinglea glutinosa","16729"
"Mangifera indica","11451"
"Ficus benjamina","11427"
"Caesalpinia ebano","9522"
"Terminalia catappa","9105"
"Tabebuia rosea","8944"
"Pithecellobium dulce","8863"
"Leucaena leucocephala","6826"
NULL,"6808"
"Adonidia merrillii","6485"
"Albizia saman","6277"
"Roystonea regia","6221"
"Spathodea campanulata","4476"
"Annona muricata","3923"
"Platycladus orientalis","3859"
"Roystonea oleracea","3580"
"Guazuma ulmifolia","3352"
"Persea americana","3225"
"Melicoccus bijugatus","3098"
"Araucaria excelsa","3036"
"Dracaena fragrans","2949"
"Handroanthus chrysanthus","2916"
"Jacaranda caucana","2852"
"Cascabela thevetia","2741"
"Citrus lemon","2479"
"Citrus aurantium","2376"
"Clitoria fairchildiana","2182"
"Senna siamea","2160"
"Psidium guajava","1975"
"Murraya paniculata","1945"
"Elaeis guineensis","1920"
"Hibiscus rosa-sinensis","1898"
"Cocos nucifera","1890"
"Delonix regia","1697"
"Cananga odorata","1672"
"Morinda citrifolia","1653"
"Geoffroea spinosa","1635"
"Schefflera actinophylla","1540"
"Crescentia cujete","1461"
"Citrus reticulata","1451"
"Senna spectabilis","1429"
"Myrcia selloi","1346"
"Chamaecyparis pisifera","1331"
"Bougainvillea glabra","1280"
"Catalpa longissima","1253"
"Cassia fistula","1211"
"Ceiba pentandra","1102"
"Blighia sapida","1083"
"Sapindus saponaria","1051"
"Yucca filifera","1030"
"Dypsis madagascariensis","962"
"Pritchardia pacifica","939"
"Washingtonia filifera","894"
"Syzygium malaccense","863"
"Licania tomentosa","858"
"Caesalpinia pulcherrima","853"
"Phoenix roebelenii","838"
"Bulnesia carrapo","796"
"Albizia guachapele","787"
"Pachira insignes","781"
"Pimenta racemosa","759"
"Calliandra pittieri","753"
"Erythroxylum coca","732"
"Lagerstroemia speciosa","716"
"Bauhinia variegata","706"
"Plumeria alba","706"
"Peltophorum pterocarpum","689"
"Trichanthera gigantea","678"
"Syagrus sancona","613"
"Ficus variegata","603"
"Couroupita guianensis","599"
"Brunfelsia uniflora","597"
"Bauhinia purpurea","595"
"Erythrina poeppigiana","553"
"Nerium oleander","534"
"Ficus elastica","532"
"Enterolobium cyclocarpum","526"
"Guarea guidonia","525"
"Pachira speciosa","522"
"Simarouba amara","522"
"Duranta erecta","511"
"Codiaeum variegatum","501"
"Cupressus lusitanica","501"
"Syzygium jambos","493"
"Gliricidia sepium","490"
"Guaiacum officinale","488"
"Polyscias scutellaria","479"
"Thespesia populnea","433"
"Annona squamosa","426"
"Plumeria pudica","417"
"Cordia alliodora","399"
"Dracaena deremensis","397"
"Cestrum nocturnum","376"
"Mussaenda erythrophylla","374"
"Cedrela odorata","373"
"Inga edulis","372"
"Artocarpus communis","368"
"Zanthoxylum rhoifolium","368"
"Fraxinus chinensis","354"
"Syzygium cumini","349"
"Erythrina variegata","338"
"Bucida buceras","323"
"Caryota mitis","322"
"Plumeria rubra","316"
"Brownea ariza","311"
"Cycas revoluta","293"
"Lafoensia punicifolia","293"
"Citrus aurantifolia","292"
"Platypodium elegans","285"
"Hymenaea courbaril","280"
"Anacardium excelsum","278"
"Callistemon citrinus","273"
"Adenanthera pavonina","269"
"Ficus insipida","268"
"Luma apiculata","267"
"Archontophoenix alexandrae","257"
"Plumeria tricolor","257"
"Averrhoa carambola","256"
"Hura crepitans","255"
"Bixa orellana","254"
"Calliandra tweedii","253"
"Eucalyptus grandis","249"
"Coccoloba uvifera","245"
